City,Calendar Year,Quarter,Per Capita Sales,Total Taxable Sales
Adelanto,2023,4,195.82,7178329
Alameda,2023,4,57.3,4428565
Alameda County - Unincorporated,2023,4,,6210781
Antioch,2023,4,69.41,8013102
Arcata,2023,4,98.68,1844224
Atwater,2023,4,49.2,1545970
Bellflower,2023,4,95.37,7336300
Berkeley,2023,4,51.32,6341267
Calaveras County - Unincorporated,2023,4,,2642483
California City,2023,4,195.54,2899348
Cathedral City,2023,4,47.9,2463741
Chula Vista,2023,4,54.35,14936916
Coachella,2023,4,74.41,3159664
Corona,2023,4,48.32,7587085
Costa Mesa,2023,4,72.03,8009540
Crescent City,2023,4,214.32,1240959
Culver City,2023,4,105.89,4202242
Davis,2023,4,106.06,6798405
Desert Hot Springs,2023,4,134.93,4399833
El Dorado County - Unincorporated,2023,4,,4138219
El Monte,2023,4,67.33,7162851
Emeryville,2023,4,109.49,1380755
Eureka,2023,4,114.17,2984470
Fresno,2023,4,28.08,15259904
Goleta,2023,4,87.8,2848438
Hesperia,2023,4,3.53,353521
Humboldt County - Unincorporated,2023,4,,2602476
Imperial County - Unincorporated,2023,4,,4571443
Jurupa Valley,2023,4,144.47,15167302
La Mesa,2023,4,367.16,22183103
Lake County - Unincorporated,2023,4,,1243916
Lake Elsinore,2023,4,130.73,9409733
Lompoc,2023,4,112.75,4904050
Long Beach,2023,4,74.08,33948380
Los Angeles,2023,4,60.59,228214016
Maywood,2023,4,215.9,5299513
Mendocino County - Unincorporated,2023,4,,2163244
Merced,2023,4,75.83,6833599
Modesto,2023,4,49.75,10796762
Montebello,2023,4,26.59,1639743
Monterey County - Unincorporated,2023,4,,3961005
Moreno Valley,2023,4,51.74,10778943
Napa,2023,4,62.27,4783968
Needles,2023,4,1213.96,5773625
Oakland,2023,4,64.01,26857033
Oxnard,2023,4,24.74,4885924
Pacifica,2023,4,102.32,3794541
Palm Desert,2023,4,115.53,5847590
Palm Springs,2023,4,176.14,7766620
Pasadena,2023,4,39.26,5378347
Perris,2023,4,84.99,6710222
Pomona,2023,4,105.22,15754089
Port Hueneme,2023,4,432.97,9246653
Redding,2023,4,75.87,7015999
Redwood City,2023,4,74.82,6097488
Riverside County - Unincorporated,2023,4,,15690375
Sacramento,2023,4,129,66844537
Salinas,2023,4,32.35,5159221
San Bernardino,2023,4,95.47,21313237
San Diego,2023,4,36.79,50348614
San Diego County - Unincorporated,2023,4,,3839418
San Francisco,2023,4,59.91,49829909
San Jacinto,2023,4,111.99,6059162
San Jose,2023,4,44.93,43102845
San Leandro,2023,4,89.93,7868729
San Luis Obispo County - Unincorporated,2023,4,,2110936
San Rafael,2023,4,41.85,2497969
Santa Ana,2023,4,183,54833793
Santa Barbara,2023,4,68.25,5830474
Santa Cruz,2023,4,69.14,4371522
Santa Cruz County - Unincorporated,2023,4,,8149084
Santa Rosa,2023,4,78.49,13699760
Seaside,2023,4,138.39,4122819
Sonoma County - Unincorporated,2023,4,,2710477
South Lake Tahoe,2023,4,204.06,4193229
Stanislaus County - Unincorporated,2023,4,,3318817
Stanton,2023,4,98.81,3861925
Stockton,2023,4,43.27,13836299
Truckee,2023,4,52.44,874585
Undisclosed,2023,4,,202725670
Vallejo,2023,4,53.94,6562696
Vista,2023,4,276.56,27611330
West Hollywood,2023,4,210.66,7329550
Adelanto,2023,3,132.17,4845145
Alameda,2023,3,55.98,4327263
Antioch,2023,3,68.92,7957254
Arcata,2023,3,107.99,2018211
Atwater,2023,3,47.42,1490027
Bellflower,2023,3,103.08,7929639
Berkeley,2023,3,52.65,6505617
Calaveras County - Unincorporated,2023,3,,2993334
California City,2023,3,199.41,2956738
Cathedral City,2023,3,46.25,2378950
Chula Vista,2023,3,41.6,11432107
Cloverdale,2023,3,51.33,451041
Coachella,2023,3,66.43,2820957
Corona,2023,3,18.25,2866097
Costa Mesa,2023,3,68.73,7642321
Cotati,2023,3,897.22,6603566
Crescent City,2023,3,214.5,1241990
Culver City,2023,3,72.53,2878283
Davis,2023,3,102.65,6580005
Desert Hot Springs,2023,3,138.71,4523252
El Dorado County - Unincorporated,2023,3,,3804390
Emeryville,2023,3,112.45,1418094
Eureka,2023,3,127.33,3328383
Goleta,2023,3,84.93,2755340
Hesperia,2023,3,6.33,633801
Humboldt County - Unincorporated,2023,3,,2847078
Jurupa Valley,2023,3,144.51,15171932
La Mesa,2023,3,376.31,22736257
Lake County - Unincorporated,2023,3,,1137694
Lake Elsinore,2023,3,166.55,11987493
Lompoc,2023,3,110.23,4794464
Long Beach,2023,3,75.79,34729292
Los Angeles,2023,3,62.69,236124532
Los Angeles County - Unincorporated,2023,3,,236819
Maywood,2023,3,222.38,5458706
Mendocino County - Unincorporated,2023,3,,2507477
Merced,2023,3,74.93,6753231
Modesto,2023,3,50.8,11025515
Monterey County - Unincorporated,2023,3,,4170673
Moreno Valley,2023,3,38.96,8114991
Mount Shasta,2023,3,206.72,664621
Napa,2023,3,66.77,5129930
Needles,2023,3,1109.15,5275131
Oakland,2023,3,67.39,28275571
Oxnard,2023,3,13.49,2664943
Pacifica,2023,3,113.24,4199490
Palm Desert,2023,3,97.01,4910550
Palm Springs,2023,3,164.49,7252961
Perris,2023,3,98.39,7767842
Pomona,2023,3,103.01,15422811
Port Hueneme,2023,3,541.57,11565897
Redding,2023,3,79,7305391
Riverside County - Unincorporated,2023,3,,7619174
Sacramento,2023,3,131.47,68127063
Salinas,2023,3,34.18,5451542
San Bernardino,2023,3,84.43,18848058
San Diego,2023,3,43.55,59599540
San Diego County - Unincorporated,2023,3,,4006391
San Francisco,2023,3,65.91,54821692
San Jose,2023,3,49.14,47138157
San Leandro,2023,3,82.55,7223504
San Luis Obispo County - Unincorporated,2023,3,,2278386
San Rafael,2023,3,42.87,2558720
Santa Ana,2023,3,202.74,60749004
Santa Barbara,2023,3,71.49,6106844
Santa Cruz,2023,3,75.77,4790687
Santa Cruz County - Unincorporated,2023,3,,8440087
Santa Rosa,2023,3,80.99,14135526
Seaside,2023,3,148.99,4438600
Sonoma County - Unincorporated,2023,3,,4171534
South Lake Tahoe,2023,3,266.01,5466143
Stanislaus County - Unincorporated,2023,3,,4145953
Stockton,2023,3,42.88,13710871
Ukiah,2023,3,64.2,1022785
Undisclosed,2023,3,,250411959
Vallejo,2023,3,59.83,7279451
Vista,2023,3,296.16,29567205
West Hollywood,2023,3,219.83,7648724
Woodlake,2023,3,294.94,2274283
Adelanto,2023,2,131.17,4808419
Alameda,2023,2,58.08,4488968
Antioch,2023,2,73.31,8463493
Arcata,2023,2,109.73,2050748
Atwater,2023,2,55.27,1736780
Bellflower,2023,2,108.74,8365454
Berkeley,2023,2,55.49,6857520
Calaveras County - Unincorporated,2023,2,,2907065
California City,2023,2,208.92,3097676
Cathedral City,2023,2,56.52,2907479
Chula Vista,2023,2,40.84,11223355
Cloverdale,2023,2,52.6,462263
Coachella,2023,2,79.66,3382611
Costa Mesa,2023,2,45.52,5061934
Crescent City,2023,2,190.05,1100390
Culver City,2023,2,75.35,2990137
Davis,2023,2,108.76,6971420
Desert Hot Springs,2023,2,149.48,4874556
El Dorado County - Unincorporated,2023,2,,3714352
Emeryville,2023,2,92.09,1161314
Eureka,2023,2,118.83,3106291
Goleta,2023,2,81.22,2635056
Grover Beach,2023,2,409.73,5108186
Hesperia,2023,2,13.46,1346933
Humboldt County - Unincorporated,2023,2,,2842081
Jurupa Valley,2023,2,149.73,15719697
Kern County - Unincorporated,2023,2,,103441
La Mesa,2023,2,379.26,22914318
