Calendar Year,Quarter,Excise Tax,Cultivation Tax,Sales Tax,Total Tax,Excise Tax Paid To Distributors,Vendor Compensation,Year-Quarter,Cannabis Sales,Taxable Sales
2023,Q4,156517560,,111800941,268318501,157626,1158331,2023Q4,1050401980,1251330833
2023,Q3,164032328,,114314861,278347189,834052,926767,2023Q4,1104559750,1273908267
2023,Q2,165863509,,120365230,286228739,3972094,607189,2023Q4,1134005069,1335865871
2023,Q1,134730714,,114827225,249557939,32185580,,2023Q4,1110081882,1280533775
2022,Q4,128976014,,120869584,249845598,,,2023Q4,,1352972324
2022,Q3,135871676,,116315136,252186812,,,2023Q4,,1299211388
2022,Q2,148644444,27721858,126032810,302399112,,,2023Q4,,1412580136
2022,Q1,155076281,37615380,118844239,311535900,,,2023Q4,,1327829569
2021,Q4,160979782,39960248,129433868,330373898,,,2023Q4,,1445357711
2021,Q3,177453322,43396236,127959672,348809230,,,2023Q4,,1429392690
2021,Q2,180372398,42518956,138888192,361779546,,,2023Q4,,1564827567
2021,Q1,162185994,40361972,118236543,320784509,,,2023Q4,,1340283472
2020,Q4,154482053,42672432,117999239,315153724,,,2023Q4,,1331551851
2020,Q3,169391644,43394834,119248451,332034929,,,2023Q4,,1342765809
2020,Q2,137591606,30874243,101925295,270391144,,,2023Q4,,1152736606
2020,Q1,112446454,27646178,77779277,217871909,,,2023Q4,,877049614
2019,Q4,86765478,24666163,70957851,182389492,,,2023Q4,,799578042
2019,Q3,84887286,22809108,65840054,173536448,,,2023Q4,,742705091
2019,Q2,75610453,23030879,60375821,159017153,,,2023Q4,,682062093
2019,Q1,63702235,17277125,50700736,131680096,,,2023Q4,,579087948
2018,Q4,57134451,17305538,49226876,123666865,,,2023Q4,,564014424
2018,Q3,55452365,12965879,42669242,111087486,,,2023Q4,,487989160
2018,Q2,43202987,4963720,45457457,93624164,,,2023Q4,,520104600
2018,Q1,35867466,1849146,35511797,73228409,,,2023Q4,,408511368
