id,licenseNumber,licenseStatus,licenseTerm,licenseType,licenseDesignation,issueDate,expirationDate,licenseStatusDate,businessLegalName,businessDbaName,businessOwnerName,businessStructure,activity,premiseStreetAddress,premiseCity,premiseState,premiseCounty,premiseZipCode,businessEmail,businessPhone,parcelNumber,PremiseLatitude,PremiseLongitude
4013,C10-0000001-LIC,Surrendered,Annual,Commercial -  Retailer,Adult-Use and Medicinal,11/2/2018 0:00,11/2/2020 0:00,1/6/2022 0:00,"Psgc, Inc.",Atomic Budz,"John Chaisson, Robert Wolter",Corporation,Data Not Available,68415 Perez Rd,Cathedral CTY,CA,Riverside,92234,Jeff@atomicbudz.Com,(760) 322-4481,Data Not Available,33.784464,-116.468354
4014,C10-0000002-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,11/3/2018 0:00,11/3/2024 0:00,11/3/2018 0:00,Monterey County Patients Group Incorporated,Green Dragon Vallejo,"Eric Thomas, Glenn Standridge, Manuel Semerdjian",Corporation,Data Not Available,1988 Broadway St,Vallejo,CA,Solano,94589,Mcpgmembership@gmail.Com,(707) 653-2043,Data Not Available,38.140374,-122.2520144
4015,C10-0000003-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,11/6/2018 0:00,11/6/2024 0:00,11/6/2018 0:00,"Omega Group, Inc.",Dank Depot,Gayk Akhsharumov,Corporation,Data Not Available,68031 Ramon Rd,Cathedral CTY,CA,Riverside,92234,Omegagroupcc@gmail.Com,(818) 281-7080,Data Not Available,33.81539472,-116.4748564
4016,C10-0000004-LIC,Expired,Annual,Commercial -  Retailer,Adult-Use,11/8/2018 0:00,11/8/2022 0:00,12/8/2022 0:00,Leef Industries LLC,Trulieve,"Alexander  D'Amico, Giannella Alvarez, Jane Morreau, Kimberly Rivers, Kyle  Landrum, PETER HEALY, RAYMOND POWERS, Richard May, Susan Thronson, Thad Beshears, Thomas  Millner, Tim Morey",Limited Liability Company,Data Not Available,3700 Vista Chino E,Palm Springs,CA,Riverside,92262,Kortpotter@gmail.Com,(760) 832-9222,Data Not Available,33.845482,-116.505181
4017,C10-0000005-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,11/14/2018 0:00,11/14/2024 0:00,11/14/2018 0:00,"Dpc Sf, LLC",Dutchman's Flat,"Beth Thuna, Marcus  Thuna, Robert Watson",Limited Liability Company,Data Not Available,2544 3rd St,San Francisco,CA,San Francisco,94122,Rw@dutchmansflat.Com,(415) 203-6277,Data Not Available,37.75738154,-122.3883531
4018,C10-0000006-LIC,Surrendered,Annual,Commercial -  Retailer,Adult-Use and Medicinal,11/20/2018 0:00,11/20/2020 0:00,1/6/2022 0:00,Freedom 1st Association,SKUNKMASTERS,Robert Tatum,Corporation,Data Not Available,2675 N Ventura Rd,Port Hueneme,CA,Ventura,93041,Bob@vipermgt.Com,(630) 209-3432,Data Not Available,34.17816541,-119.1962968
4019,C10-0000007-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,11/20/2018 0:00,11/20/2024 0:00,11/20/2018 0:00,"Blue Mountain Collective, Inc.","BLUE MOUNTAIN COLLECTIVE, INC.",Conrad Bonet,Corporation,Data Not Available,692 Marshall Ave,San Andreas,CA,Calaveras,95249,Conradbonet0710@gmail.Com,(209) 754-3289,Data Not Available,38.190253,-120.671625
4020,C10-0000008-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,11/20/2018 0:00,11/20/2024 0:00,11/20/2018 0:00,"Creekside Wellness, Inc.",Data Not Available,Jeffery Angell,Corporation,Data Not Available,12603 Highway 9,Boulder Creek,CA,Santa Cruz,95006,Whereisjeff@gmail.Com,(801) 560-9466,Data Not Available,37.11720119,-122.120471
4021,C10-0000009-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,1/31/2019 0:00,1/31/2025 0:00,2/2/2021 0:00,Horizon Collective Inc.,1841 El Camino,"John Swanston, Sean Eaddy",Corporation,Data Not Available,1841 El Camino Ave,Sacramento,CA,Sacramento,95815,Horizoncollective@yahoo.Com,(916) 870-8067,Data Not Available,38.611463,-121.423635
4022,C10-0000010-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,3/19/2019 0:00,3/18/2025 0:00,3/19/2019 0:00,"Alternatives, A Health Collective","ALTERNATIVES, A HEALTH COLLECTIVE",KAREN KISSLER,Corporation,Data Not Available,1603 Hampton Way,Santa Rosa,CA,Sonoma,95407,Mskslr@comcast.Net,(415) 250-8888,Data Not Available,38.42820076,-122.7383473
4023,C10-0000011-LIC,Expired,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,3/28/2019 0:00,3/27/2022 0:00,4/26/2022 0:00,"My Golden Green, Inc.",The Humboldt County Collective,"Collin Hammans, JoAnn Hammans",Corporation,Data Not Available,1670 Myrtle Ave,Eureka,CA,Humboldt,95501,Goldengreen420@gmail.Com,(707) 442-2420,Data Not Available,40.79393,-124.136199
4024,C10-0000012-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,4/2/2019 0:00,4/1/2025 0:00,4/2/2019 0:00,Us Bloom Inc.,US Bloom,Nicholas Foster,Corporation,Data Not Available,1201 Springs Rd,Vallejo,CA,Solano,94591,Usbloom707@gmail.Com,(707) 561-0716,Data Not Available,38.105806,-122.22793
