BFN,License_Type,license_sub_type,License_Status,Expiration_Date,Entity_Name,Establishment_Address
2021-BFN-0009730,Combined License,NA,Pending,11/29/2021,OLD CHICAGO TAPROOM II LLC,4100 E Mexico Ave F Denver 80222
2022-BFN-0010577,Combined License,NA,Pending,8/26/2022,TASTES DEN JV LLC,
2022-BFN-0015596,Marijuana-Transporter,NA,Pending,11/8/2022,Nature's Transport Service LLC,
2022-BFN-0018401,Child Care,Center,Pending,12/2/2022,District 1 Denver Public Schools,
2022-BFN-0025877,Residential Rental Property,NA,Pending,1/31/2022,"Outlook DTC TIC 1, LLC","5031 S Ulster Street 1-102, 1-1 Denver 80237"
2023-BFN-0000848,Combined License,NA,Pending,1/6/2023,RINO MUSIC LLC,
2023-BFN-0008279,Combined License,NA,Pending,3/8/2023,WHITS END LLC,
2023-BFN-0010252,Retail Food Establishment,Restaurant,Pending,3/23/2023,PARK HILL NUTRITION LLC,
2023-BFN-0011487,Massage Business,NA,Pending,4/1/2023,Green Tree Massage LLC,
2023-BFN-0012620,Residential Rental Property,NA,Pending,1/31/2023,Willie H. Acker,
2023-BFN-0013064,Tree Service Company,NA,Pending,4/12/2023,MICHAEL REGNER,
2023-BFN-0013070,Residential Rental Property,NA,Pending,1/31/2023,Cookston Management LLC,
2023-BFN-0013694,Combined License,NA,Pending,4/17/2023,THE OLIVE TIGER LLC,
2023-BFN-0014905,Food - Retail,"Milk, Dairy, Prepackaged Meats",Pending,4/25/2023,GOBRANDS INC,
2023-BFN-0015035,Food - Retail,"Milk, Dairy, Prepackaged Meats",Pending,4/26/2023,"GOBRANDS, INC.",
2023-BFN-0015999,Retail Food Establishment,Restaurant - Temporary,Pending,5/2/2023,DeLirios Tacos LLC,
2023-BFN-0016194,Residential Rental Property,NA,Pending,1/31/2023,70-72 South Osceola Street llc,
2023-BFN-0016274,Residential Rental Property,NA,Pending,1/31/2023,470 Lincoln LLC,
2023-BFN-0016274,Residential Rental Property,NA,Pending,1/31/2023,470 Lincoln LLC,
2023-BFN-0016274,Residential Rental Property,NA,Pending,1/31/2023,470 Lincoln LLC,
2023-BFN-0017247,Residential Rental Property,NA,Pending,1/31/2023,Culebra Properties LLC (20181483852),
2023-BFN-0017507,Retail Food Establishment,Restaurant,Pending,5/11/2023,FULL CIRCLE PEORIA LLC,4505 N Peoria St 102 Denver 80239
2023-BFN-0017669,Garage - Repair of Motor Vehic,NA,Pending,5/12/2023,DENVER SPRING & SUSPENSION INC,
2023-BFN-0017844,Residential Rental Property,NA,Pending,1/31/2023,Team Thompson LLC,
2023-BFN-0017901,Combined License,NA,Pending,5/15/2023,TAQUERIA 7 SALSAS LLC,1350 S Sheridan Blvd 6 Denver 80232
2023-BFN-0018436,Liquor,Retail,Pending,5/18/2023,"EDGEWATER LAND OPERATOR, LLC",
2023-BFN-0018980,Residential Rental Property,NA,Pending,1/31/2023,Sanford Clark,
2023-BFN-0019073,Kennel,NA,Pending,5/23/2023,PETSMART LLC,2780 S Colorado Blvd 308 Denver 80222
2023-BFN-0019092,Residential Rental Property,NA,Pending,1/31/2023,Tautumn Trust,
2023-BFN-0019122,Residential Rental Property,NA,Pending,1/31/2023,Nina Marcus,1671 S Pearl Street 1671 Denver 80210
2023-BFN-0019253,Swimming Pool,NA,Pending,5/24/2023,"CR LYDIAN, LLC",
2023-BFN-0020085,Combined License,NA,Pending,5/31/2023,PRCP-CO SPYGLASS CREEK,
2023-BFN-0020452,Swimming Pool,NA,Pending,6/2/2023,GIRARD CHERRY CREEK LLC,
2023-BFN-0020636,Residential Rental Property,NA,Pending,1/31/2023,Lillie Locke,
2023-BFN-0021217,Retail Food Establishment,Restaurant - Stand-Up,Pending,6/7/2023,WORLDWIDE HOT DOGS LLC,
2023-BFN-0021379,Combined License,NA,Pending,6/8/2023,"STEM CIDERS RINO, LLC",
2023-BFN-0022033,Swimming Pool,NA,Pending,6/13/2023,THE VILLAGE TOWNHOUSE ASSOCIATION,
