application_status,license_type,APPLICATION_CLASSIFICATION,APPLICATION_CLASSIFICATION-1,APPLICATION_CLASSIFICATION-2,APPROVED_LICENSE_TYPE,Approved_License_Stages,commence_operations_date,lic_status,license_number,business_name,establishment_city,establishment_zipcode,BUSINESS_EMAIL,BUSINESS_PHONE,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,EIN_TIN,APPLICATION_NUMBER,SUBMITTED_DATE,FIRST_COMPLIANCE_REVIEW_DATE,LIC_FEE_PAYMENT_SUBMITTED_DATE,PRIORITY,FEE_WAIVER_REQUEST,FEE_WAIVER_EE_OR_SE_NUMBER,EE_PRIORITY_STATUS,EE_PRIORITY_NUMBER_FROM_ACCOUNT,EE_PRIORITY_NUMBER_FROM_APPLICATION,RMD_PRIORITY_STATUS,RMD_PRIORITY_NUMBER_FROM_ACCOUNT,RMD_PRIORITY_NUMBER_FROM_APPLICATION,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,APPLICATION_CREATED_DATE,CNB_DEEMED_COMPLETE_DATE,APPLICATION_APPROVED_DATE,LIC_START_DATE,LIC_EXPIRATION_DATE,PMT_AMOUNT,LIC_FEE_AMOUNT,ZIP,Town,county,county_lat,county_long,Region,ESTABLISHMENT_ADDRESS_2,establishment_state,latitude,longitude,APPROVED_SE_NUMBER,CCCLastUpdated
APPROVED,Marijuana Product Manufacturer,Expedited Review - DBE Status,Expedited,DBE Status,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP282192,"Good Feels, Inc.",Holliston,1746,jason@getgoodfeels.com,617-201-6025,23 Jayar Rd,Suite 6,Medway,MA,2053,POINT (-71.275566 42.459085),POINT (-71.411073 42.2123459),23 Jayar Rd,Suite 6,Medway,MA,2053,85-2648667,MPN282192,Thu Jan 05 2023 10:05:34 GMT-0500 (Eastern Standard Time),Wed Aug 17 2022 13:25:02 GMT-0400 (Eastern Daylight Time),Sat Apr 08 2023 19:33:52 GMT-0400 (Eastern Daylight Time),,no,,,,,,,,Minority-Owned Business,,,,Mon Apr 04 2022 12:42:15 GMT-0400 (Eastern Daylight Time),Fri Feb 03 2023 09:07:16 GMT-0500 (Eastern Standard Time),Thu Mar 09 2023 12:39:11 GMT-0500 (Eastern Standard Time),Sat Apr 08 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Aug 08 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,5000,1746,Holliston,Middlesex,42.459085,-71.275566,Central MA,Suite B,MA,42.212346,-71.411073,,3/22/2024
APPROVED,Marijuana Cultivator,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC281342,"Holyoke Gardens, LLC",Holyoke,1040,justin.peter.goldberg@gmail.com,413-588-6565,5 Appleton Street,,Holyoke,MA,1040,POINT (-72.571312 42.12756),POINT (-72.598252 42.198608),5 Appleton Street,,Holyoke,MA,1040,82-4928299,MCN281342,Sat Oct 13 2018 02:27:08 GMT-0400 (Eastern Daylight Time),Thu Aug 02 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Wed Jun 19 2019 22:10:47 GMT-0400 (Eastern Daylight Time),,,,,,,,,,Not a DBE,Indoor,"Tier 06: 40,001 to 50,000 sq. ft",,Tue May 01 2018 13:26:41 GMT-0400 (Eastern Daylight Time),Thu Oct 18 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jan 10 2019 13:46:02 GMT-0500 (Eastern Standard Time),Fri Apr 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Apr 17 2024 04:00:00 GMT-0400 (Eastern Daylight Time),600,12500,1040,Holyoke,Hampden,42.12756,-72.571312,Western MA,N/A,MA,42.198608,-72.598252,,3/22/2024
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,COMMENCE OPS,10/13/2023,COMPLETE,MR284616,"UC Retail, LLC",Groton,1450,mike@unitedcult.com,978-866-1154,489 Main Street,Unit A,Groton,MA,1450,POINT (-71.275566 42.459085),POINT (-71.585875 42.6198800),601 Fitchburg State Road,,Ashby,MA,1431,87-2349254,MRN284616,Wed Jul 20 2022 14:21:48 GMT-0400 (Eastern Daylight Time),Wed Apr 20 2022 09:40:52 GMT-0400 (Eastern Daylight Time),Fri Nov 11 2022 11:03:36 GMT-0500 (Eastern Standard Time),,no,,,,,,,,Not a DBE,,,Thu Sep 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Mar 14 2022 11:32:05 GMT-0400 (Eastern Daylight Time),Mon Aug 08 2022 10:19:01 GMT-0400 (Eastern Daylight Time),Thu Oct 13 2022 16:28:13 GMT-0400 (Eastern Daylight Time),Thu Nov 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Mon Nov 11 2024 03:00:00 GMT-0500 (Eastern Standard Time),1500,10000,1450,Groton,Middlesex,42.459085,-71.275566,Central MA,Unit A,MA,42.61988,-71.585876,,3/22/2024
APPROVED,Marijuana Product Manufacturer,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,PROVISIONAL CONSIDERATION,PROVISIONAL CONSIDERATION,,PAYMENT_PENDING,MP282240,Motah 420 LLC,Adams,1220,CARL@MOTAH420.COM,617-480-4160,6 RENFREW ST,,ADAMS,MA,1220,POINT (-73.209889 42.396128),POINT (-73.112067 42.6373269),6 RENFREW ST,,ADAMS,MA,1220,88-1082028,MPN282240,Fri Jan 06 2023 11:45:23 GMT-0500 (Eastern Standard Time),Thu Nov 17 2022 13:32:24 GMT-0500 (Eastern Standard Time),,,yes,SE305091,,,,,,,Not a DBE,,,,Thu Oct 20 2022 13:57:37 GMT-0400 (Eastern Daylight Time),Fri Jan 06 2023 11:56:08 GMT-0500 (Eastern Standard Time),Thu Mar 09 2023 12:46:12 GMT-0500 (Eastern Standard Time),,,,,1220,Adams,Berkshire,42.396128,-73.209889,Western MA,N/A,MA,42.637327,-73.112068,SE305091,3/22/2024
APPROVED,Marijuana Product Manufacturer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,COMMENCE OPS,1/29/2024,COMPLETE,MP281832,"Mill Town Agriculture, LLC",Holyoke,1040,j@aggalt.com,781-353-8585,1 Cabot Street,,Holyoke,MA,1040,POINT (-72.571312 42.12756),POINT (-72.602168 42.1966370),1029 North Road,PMB 131,Westfield,MA,1085,84-3572639,MPN281832,Thu Jul 16 2020 09:53:28 GMT-0400 (Eastern Daylight Time),Mon Jun 29 2020 09:23:10 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,Not a DBE,,,Thu Dec 08 2022 03:00:00 GMT-0500 (Eastern Standard Time),Tue Jan 28 2020 13:10:49 GMT-0500 (Eastern Standard Time),Thu Jul 23 2020 13:38:38 GMT-0400 (Eastern Daylight Time),Thu Oct 08 2020 14:35:09 GMT-0400 (Eastern Daylight Time),Thu Jan 11 2024 03:00:00 GMT-0500 (Eastern Standard Time),Mon Jan 27 2025 03:00:00 GMT-0500 (Eastern Standard Time),1500,10000,1040,Holyoke,Hampden,42.12756,-72.571312,Western MA,N/A,MA,42.196637,-72.602168,,3/22/2024
APPROVED,Marijuana Cultivator,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC283451,"Canna Select Holdings, LLC",Whately,1373,ccimini1@gmail.com,585-737-2119,23 LaSalle Drive,,Whately,MA,1373,POINT (-72.573941 42.587072),POINT (-72.652511 42.4426729),PO Box 163,,Hinsdale,MA,1235,86-1622265,MCN283451,Fri Apr 30 2021 14:40:24 GMT-0400 (Eastern Daylight Time),Mon Apr 12 2021 13:45:30 GMT-0400 (Eastern Daylight Time),Sun Jul 25 2021 11:09:10 GMT-0400 (Eastern Daylight Time),,no,,,,,,,,Not a DBE,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,Wed Mar 24 2021 19:17:38 GMT-0400 (Eastern Daylight Time),Fri May 07 2021 11:46:41 GMT-0400 (Eastern Daylight Time),Thu Jul 15 2021 16:32:52 GMT-0400 (Eastern Daylight Time),Thu Jun 08 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Jul 25 2024 04:00:00 GMT-0400 (Eastern Daylight Time),600,5000,1373,South Deerfield,Franklin,42.587072,-72.573941,,N/A,MA,42.442673,-72.652511,,3/22/2024
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,COMMENCE OPS,7/20/2021,COMPLETE,MR282742,"Olde World Remedies, Inc.",Lynn,1901,jcrawford@publicpolicylaw.com,617-650-3331,50 Congress Street,Suite 420,Boston,MA,2109,POINT (-70.970827 42.635475),POINT (-70.972917 42.4564870),50 Congress Street,Suite 420,Boston,MA,2109,47-4390517,MRN282742,Fri Dec 06 2019 17:48:09 GMT-0500 (Eastern Standard Time),Thu Sep 19 2019 00:00:00 GMT-0400 (Eastern Daylight Time),,TRUE,,,,,,,,RPA201932,Not a DBE,,,Thu Jun 17 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Tue May 28 2019 14:34:23 GMT-0400 (Eastern Daylight Time),Wed Dec 11 2019 00:00:00 GMT-0500 (Eastern Standard Time),Fri Feb 07 2020 09:22:33 GMT-0500 (Eastern Standard Time),Thu May 11 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed May 15 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300,10000,1901,Lynn,Essex,42.635475,-70.970827,Northeast,N/A,MA,42.456487,-70.972918,,3/22/2024
APPROVED,Marijuana Product Manufacturer,Expedited Review - DBE Status,Expedited,DBE Status,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP282159,"Ahava, LLC",Holyoke,1040,ahava1910@gmail.com,510-978-0803,333 N. Canal Street,,Holyoke,MA,1040,POINT (-72.571312 42.12756),POINT (-72.597581 42.2013740),1500 Main Street,Suite 2700,Springfield,MA,1115,38-4191566,MPN282159,Mon Jun 13 2022 14:28:51 GMT-0400 (Eastern Daylight Time),Tue Apr 05 2022 14:25:43 GMT-0400 (Eastern Daylight Time),,,no,,,,,,,,Minority-Owned Business,,,,Tue Dec 14 2021 12:58:04 GMT-0500 (Eastern Standard Time),Fri Jul 01 2022 14:35:15 GMT-0400 (Eastern Daylight Time),Thu Sep 15 2022 12:46:00 GMT-0400 (Eastern Daylight Time),Thu Aug 10 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Fri Oct 11 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500,10000,1040,Holyoke,Hampden,42.12756,-72.571312,Western MA,N/A,MA,42.201374,-72.597581,,3/22/2024
APPROVED,Marijuana Retailer,Expedited Review - DBE Status,Expedited,DBE Status,COMMENCE OPS,COMMENCE OPS,1/16/2024,COMPLETE,MR284185,Forest Wilde LLC,Lee,1238,artthebestinvestment@gmail.com,203-731-7548,75 Chestnut Street,,Lee,MA,1238,POINT (-73.209889 42.396128),POINT (-73.262462 42.3265150),75 Chestnut Street,,Lee,MA,1238,84-3709838,MRN284185,Sat Jul 10 2021 15:51:07 GMT-0400 (Eastern Daylight Time),Mon May 10 2021 13:09:15 GMT-0400 (Eastern Daylight Time),Mon Jul 25 2022 21:32:27 GMT-0400 (Eastern Daylight Time),,no,,,,,,,,Woman-Owned Business,,,Thu Dec 14 2023 03:00:00 GMT-0500 (Eastern Standard Time),Tue Mar 23 2021 12:43:00 GMT-0400 (Eastern Daylight Time),Fri Jul 16 2021 09:04:49 GMT-0400 (Eastern Daylight Time),Thu Oct 14 2021 13:09:20 GMT-0400 (Eastern Daylight Time),Thu Jul 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Jul 25 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500,10000,1238,Lee,Berkshire,42.396128,-73.209889,Western MA,N/A,MA,42.326515,-73.262463,,3/22/2024
APPROVED,Marijuana Cultivator,Expedited Review - License Type,Expedited,License Type,COMMENCE OPS,COMMENCE OPS,5/17/2021,COMPLETE,MC282488,Holistic Health Group Inc.,Middleborough,2344,cboothe@holistichealthgroup.org,508-454-5323,202 Wood st,,Hopkinton,MA,1748,POINT (-70.818958 41.978877),POINT (-70.694661 41.760216),202 Wood st,,Hopkinton,MA,1748,81-2188298,MCN282488,Mon Mar 16 2020 09:52:31 GMT-0400 (Eastern Daylight Time),Thu Dec 05 2019 00:00:00 GMT-0500 (Eastern Standard Time),,TRUE,,,,,,APPROVED,RP201867,RPA201867,Not a DBE,Outdoor,"Tier 05: 30,001 to 40,000 sq. ft",Thu Aug 06 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Fri Nov 15 2019 13:31:36 GMT-0500 (Eastern Standard Time),Thu Mar 19 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 04 2020 14:25:16 GMT-0400 (Eastern Daylight Time),Thu Aug 12 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Aug 16 2022 04:00:00 GMT-0400 (Eastern Daylight Time),1500,11500,2344,Middleboro,Plymouth,41.978877,-70.818958,,N/A,MA,41.760216,-70.694662,SE305532,3/22/2024
