application_status,license_type,APPLICATION_CLASSIFICATION,APPLICATION_CLASSIFICATION-1,APPLICATION_CLASSIFICATION-2,APPROVED_LICENSE_TYPE,Approved_License_Stages,commence_operations_date,lic_status,license_number,business_name,establishment_city,establishment_zipcode,BUSINESS_EMAIL,BUSINESS_PHONE,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,EIN_TIN,APPLICATION_NUMBER,SUBMITTED_DATE,FIRST_COMPLIANCE_REVIEW_DATE,LIC_FEE_PAYMENT_SUBMITTED_DATE,PRIORITY,FEE_WAIVER_REQUEST,FEE_WAIVER_EE_OR_SE_NUMBER,EE_PRIORITY_STATUS,EE_PRIORITY_NUMBER_FROM_ACCOUNT,EE_PRIORITY_NUMBER_FROM_APPLICATION,RMD_PRIORITY_STATUS,RMD_PRIORITY_NUMBER_FROM_ACCOUNT,RMD_PRIORITY_NUMBER_FROM_APPLICATION,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,APPLICATION_CREATED_DATE,CNB_DEEMED_COMPLETE_DATE,APPLICATION_APPROVED_DATE,LIC_START_DATE,LIC_EXPIRATION_DATE,PMT_AMOUNT,LIC_FEE_AMOUNT,ZIP,Town,county,county_lat,county_long,Region,ESTABLISHMENT_ADDRESS_2,establishment_state,latitude,longitude,APPROVED_SE_NUMBER,CCCLastUpdated
APPROVED,Marijuana Cultivator,General Applicant,General Applicant,General Applicant,COMMENCE OPS,COMMENCE OPS,9/25/2023,COMPLETE,MC282081,berkley botanicals llc,Berkley,2779,berkleybotanicals@gmail.com,401-497-4033,44 county street,,berkley,MA,2779,POINT (-71.102131 41.778329),POINT (-71.019537 41.8426820),13 bay road,,warren,RI,2885,83-3275518,MCN282081,Tue Feb 25 2020 12:05:26 GMT-0500 (Eastern Standard Time),Tue Oct 29 2019 00:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,Not a DBE,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",Thu Mar 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Fri Apr 05 2019 10:46:35 GMT-0400 (Eastern Daylight Time),Thu Feb 27 2020 00:00:00 GMT-0500 (Eastern Standard Time),Thu Apr 09 2020 14:50:19 GMT-0400 (Eastern Daylight Time),Thu Jan 11 2024 03:00:00 GMT-0500 (Eastern Standard Time),Wed Jan 15 2025 03:00:00 GMT-0500 (Eastern Standard Time),400,2500,2779,Berkley,Bristol,41.778329,-71.102131,Southeast and Cape,N/A,MA,41.842682,-71.019537,,3/22/2024
APPROVED,Marijuana Cultivator,Expedited Review - License Type,Expedited,License Type,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC282454,CastleRock Agricultural Enterprises Incorporated,Barre,1005,thomas@castlerockagricultural.com,508-868-3960,257 WALNUT HILL RD,,BARRE,MA,1005,POINT (-71.840209 42.329642),POINT (-72.084109 42.4178640),257 WALNUT HILL RD,,BARRE,MA,1005,83-1710815,MCN282454,Thu Aug 06 2020 09:17:33 GMT-0400 (Eastern Daylight Time),Fri May 29 2020 12:01:49 GMT-0400 (Eastern Daylight Time),,,no,,,,,,,,Not a DBE,Outdoor,"Tier 11: 90,001 to 100,000 sq. ft",,Fri Oct 18 2019 15:42:17 GMT-0400 (Eastern Daylight Time),Thu Aug 13 2020 14:02:28 GMT-0400 (Eastern Daylight Time),Thu Oct 08 2020 12:36:11 GMT-0400 (Eastern Daylight Time),Thu Apr 07 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Apr 08 2023 04:00:00 GMT-0400 (Eastern Daylight Time),1500,25000,1005,Barre,Worcester,42.329642,-71.840209,Central MA,N/A,MA,42.417864,-72.08411,,3/22/2024
APPROVED,Marijuana Delivery Operator,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,COMMENCE OPS,COMMENCE OPS,1/29/2024,COMPLETE,MD1298,Green Flash Delivery LLC,Boston,2118,osbornduane@gmail.com,857-261-4763,225 Southampton St.,,ROXBURY,MA,2119,POINT (-71.073493 42.334948),,PO Box 190002,60 Dudley Street,Roxbury,MA,2119,87-3674068,MDA1298,Mon Apr 25 2022 15:37:29 GMT-0400 (Eastern Daylight Time),Wed Mar 23 2022 15:41:31 GMT-0400 (Eastern Daylight Time),,,,SE303731,,,,,,,Minority-Owned Business,,,Thu Dec 14 2023 03:00:00 GMT-0500 (Eastern Standard Time),Mon Jan 31 2022 14:13:35 GMT-0500 (Eastern Standard Time),Fri May 06 2022 10:25:01 GMT-0400 (Eastern Daylight Time),Thu Jul 14 2022 12:03:23 GMT-0400 (Eastern Daylight Time),Thu Jul 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sun Jul 14 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,,2118,Boston,Suffolk,42.334948,-71.073493,Metro Boston,,MA,,,SE303731,3/22/2024
APPROVED,Marijuana Cultivator,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC281756,Higher Purpose Corporation,Lee,1238,nate@royalpropertygroup.com,413-464-9037,392 Merrill Rd,,Pittsfield,MA,1201,POINT (-73.209889 42.396128),POINT (-73.255697 42.2781489),392 Merrill Rd,,Pittsfield,MA,1201,83-2229449,MCN281756,Sun May 10 2020 15:30:24 GMT-0400 (Eastern Daylight Time),Fri Oct 11 2019 00:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,Not a DBE,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,Wed Oct 17 2018 09:15:00 GMT-0400 (Eastern Daylight Time),Thu May 21 2020 13:13:31 GMT-0400 (Eastern Daylight Time),Thu Aug 06 2020 14:02:31 GMT-0400 (Eastern Daylight Time),Thu May 12 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sun May 21 2023 04:00:00 GMT-0400 (Eastern Daylight Time),600,5000,1238,Lee,Berkshire,42.396128,-73.209889,Western MA,N/A,MA,42.278149,-73.255698,,3/22/2024
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR284920,"FFD Enterprises MA, Inc.",West Springfield,1089,bzachs@finefettle.com,860-490-0359,175 Memorial Avenue,,West Springfield,MA,1089,POINT (-72.571312 42.12756),POINT (-72.599672 42.0964889),40 Woodland Street,,Hartford,CT,6105,90-1007354,MRN284920,Thu Jun 08 2023 15:31:51 GMT-0400 (Eastern Daylight Time),Mon May 22 2023 13:01:21 GMT-0400 (Eastern Daylight Time),,TRUE,no,,,,,APPROVED,RP201928,RP201928,Not a DBE,,,,Thu Apr 13 2023 15:45:47 GMT-0400 (Eastern Daylight Time),Fri Jun 16 2023 14:01:28 GMT-0400 (Eastern Daylight Time),Thu Aug 10 2023 11:41:59 GMT-0400 (Eastern Daylight Time),Thu Sep 21 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Sep 21 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500,10000,1089,West Springfield,Hampden,42.12756,-72.571312,Western MA,N/A,MA,42.096489,-72.599673,,3/22/2024
APPROVED,Marijuana Cultivator,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC283415,DayDreamz Estates LLC,Sandisfield,1255,pmblume@daydreamzestates.com,413-429-5662,68 Sandisfield Road,,Sandisfield,MA,1255,POINT (-73.209889 42.396128),POINT (-73.108464 42.1082260),68 Sandisfield Road,,Sandisfield,MA,1255,86-1250658,MCN283415,Thu Apr 08 2021 17:50:53 GMT-0400 (Eastern Daylight Time),Mon Mar 22 2021 14:09:05 GMT-0400 (Eastern Daylight Time),Tue Jun 22 2021 14:41:02 GMT-0400 (Eastern Daylight Time),,no,,,,,,,,Not a DBE,Indoor,"Tier 01: up to 5,000 square feet",,Tue Mar 09 2021 14:16:59 GMT-0500 (Eastern Standard Time),Fri Apr 30 2021 07:49:14 GMT-0400 (Eastern Daylight Time),Tue Jun 22 2021 10:52:09 GMT-0400 (Eastern Daylight Time),Thu Aug 10 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Aug 10 2024 04:00:00 GMT-0400 (Eastern Daylight Time),200,1250,1255,Sandisfield,Berkshire,42.396128,-73.209889,Western MA,N/A,MA,42.108226,-73.108465,,3/22/2024
APPROVED,Marijuana Product Manufacturer,Priority Review - MTC Priority,Priority,MTC Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP282046,Debilitating Medical Condition Treatment Centers,Agawam,1001,johnh@dmcmass.com,413-374-1915,11-13 Hampden St,,Springfield,MA,1103,POINT (-72.571312 42.12756),POINT (-72.588386 42.0811179),11-13 Hampden St,,Springfield,MA,1103,46-3448063,MPN282046,Wed Apr 21 2021 11:29:31 GMT-0400 (Eastern Daylight Time),Tue Mar 30 2021 09:11:26 GMT-0400 (Eastern Daylight Time),,TRUE,no,,,,,APPROVED,RP201977,RP201977,Not a DBE,,,,Tue Mar 02 2021 14:06:33 GMT-0500 (Eastern Standard Time),Fri Apr 30 2021 09:45:16 GMT-0400 (Eastern Daylight Time),Tue Jun 22 2021 10:54:53 GMT-0400 (Eastern Daylight Time),Mon Nov 21 2022 03:00:00 GMT-0500 (Eastern Standard Time),Tue Nov 21 2023 03:00:00 GMT-0500 (Eastern Standard Time),1500,10000,1001,Agawam,Hampden,42.12756,-72.571312,Western MA,N/A,MA,42.081118,-72.588386,,3/22/2024
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,COMMENCE OPS,2/4/2021,COMPLETE,MR282388,"Apotho Therapeutics Plainville, LLC",Plainville,2762,matt@apothotherapeutics.com,401-649-1677,119 Washington St,,Plainville,MA,2762,POINT (-71.15444 42.199156),POINT (-71.316811 42.0171959),125 High Street,,Boston,MA,2110,83-1940958,MRN282388,Fri Jun 19 2020 16:59:02 GMT-0400 (Eastern Daylight Time),Fri Feb 14 2020 00:00:00 GMT-0500 (Eastern Standard Time),,,,,,,,,,,Not a DBE,,,Thu Jan 14 2021 03:00:00 GMT-0500 (Eastern Standard Time),Sat Feb 09 2019 13:30:21 GMT-0500 (Eastern Standard Time),Fri Jun 26 2020 12:43:15 GMT-0400 (Eastern Daylight Time),Thu Aug 06 2020 13:36:18 GMT-0400 (Eastern Daylight Time),Thu Aug 10 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Aug 24 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300,10000,2762,Plainville,Norfolk,42.199156,-71.15444,Central MA,N/A,MA,42.017196,-71.316811,,3/22/2024
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,COMMENCE OPS,3/11/2021,COMPLETE,MR282562,"Lazy River Products, LLC",Dracut,1826,wcassotis@lazyriverproducts.com,978-549-2266,145 Broadway Rd,,Dracut,MA,1826,POINT (-71.275566 42.459085),POINT (-71.293985 42.6753700),19 Cardiff Rd,,Windham,NH,3087,83-4312366,MRN282562,Thu Dec 05 2019 13:32:43 GMT-0500 (Eastern Standard Time),Wed Oct 30 2019 00:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,Not a DBE,,,Thu Jan 14 2021 03:00:00 GMT-0500 (Eastern Standard Time),Tue Apr 02 2019 19:05:14 GMT-0400 (Eastern Daylight Time),Tue Dec 31 2019 00:00:00 GMT-0500 (Eastern Standard Time),Thu Mar 05 2020 12:21:13 GMT-0500 (Eastern Standard Time),Thu Mar 07 2024 03:00:00 GMT-0500 (Eastern Standard Time),Tue Apr 08 2025 04:00:00 GMT-0400 (Eastern Daylight Time),300,10000,1826,Dracut,Middlesex,42.459085,-71.275566,Northeast,N/A,MA,42.67537,-71.293985,,3/22/2024
REOPENED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,IN PROCESS,IN PROCESS,,INCOMPLETE,MR284442,FASTEDDYBOSTON LLC,Lowell,1852,eddyeverytime@gmail.com,978-294-3213,176 D street,,Dracut,MA,1826,POINT (-71.275566 42.459085),,176 D street,,Dracut,MA,1826,83-3222324,MRN284442,Tue Mar 22 2022 12:48:55 GMT-0400 (Eastern Daylight Time),Mon Dec 06 2021 09:31:12 GMT-0500 (Eastern Standard Time),,,yes,SE305296,,,,,,,Minority-Owned Business | Woman-Owned Business,,,,Thu Oct 07 2021 17:40:50 GMT-0400 (Eastern Daylight Time),,,,,,,1852,Lowell,Middlesex,42.459085,-71.275566,Northeast,,MA,,,SE305297,3/22/2024
APPROVED,Marijuana Courier Pre-Certification,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,PDO103628,TZ Delivery LLC,N/A,N/A,itscustom@hotmail.com,410-370-6330,60 Damon Rd.,,Northampton,MA,1060,,,60 Damon Rd.,,Northampton,MA,1060,87-1189244,PDOA103628,Thu Jan 19 2023 15:09:10 GMT-0500 (Eastern Standard Time),Wed Jan 04 2023 08:30:04 GMT-0500 (Eastern Standard Time),,,,SE305335,,,,,,,Not a DBE,,,,Fri Dec 16 2022 12:38:36 GMT-0500 (Eastern Standard Time),Fri Jan 27 2023 10:17:02 GMT-0500 (Eastern Standard Time),Wed Oct 04 2023 10:34:08 GMT-0400 (Eastern Daylight Time),Wed Oct 04 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Oct 04 2025 04:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,,MA,,,SE305335,3/22/2024
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,COMMENCE OPS,6/29/2021,COMPLETE,MR283369,"Diem Lynn, LLC",Lynn,1902,jcapano@publicpolicylaw.com,617-523-0600,75 North Main Street,#570,Randolph,MA,2368,POINT (-70.970827 42.635475),POINT (-70.934126 42.4646759),75 North Main Street,#570,Randolph,MA,2368,84-2708625,MRN283369,Fri Jul 31 2020 13:00:19 GMT-0400 (Eastern Daylight Time),Tue May 26 2020 12:51:50 GMT-0400 (Eastern Daylight Time),,TRUE,,,,,,,,RPA201948,Not a DBE,,,Thu Jun 17 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Mar 18 2020 10:37:06 GMT-0400 (Eastern Daylight Time),Fri Aug 14 2020 07:25:51 GMT-0400 (Eastern Daylight Time),Thu Jan 14 2021 15:28:35 GMT-0500 (Eastern Standard Time),Thu May 11 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon May 13 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500,10000,1902,Lynn,Essex,42.635475,-70.970827,Northeast,N/A,MA,42.464676,-70.934126,,3/22/2024
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,COMMENCE OPS,7/5/2022,COMPLETE,MR282853,BKPN LLC,Dracut,1826,pcnpcn@comcast.net,978-319-2773,1274 Merrimack Street,,DRACUT,MA,1826,POINT (-71.275566 42.459085),POINT (-71.241795 42.6677079),1274 Merrimack Street,,DRACUT,MA,1826,84-2328124,MRN282853,Wed Apr 01 2020 14:16:28 GMT-0400 (Eastern Daylight Time),Wed Feb 05 2020 00:00:00 GMT-0500 (Eastern Standard Time),Mon Oct 26 2020 14:41:26 GMT-0400 (Eastern Daylight Time),,,,,,,,,,Not a DBE,,,Thu May 12 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Jul 10 2019 15:46:50 GMT-0400 (Eastern Daylight Time),Tue Apr 07 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jul 09 2020 14:32:22 GMT-0400 (Eastern Daylight Time),Thu Sep 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Oct 26 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300,10000,1826,Dracut,Middlesex,42.459085,-71.275566,Northeast,N/A,MA,42.667708,-71.241796,,3/22/2024
APPROVED,Marijuana Cultivator,Priority Review - MTC Priority,Priority,MTC Priority,FINAL LICENSE,FINAL LICENSE,,COMPLETE,MC281787,"Health Circle, Inc.",Rockland,2370,mwestort@healthcirclema.com,917-428-8461,21 Commerce Road,,Rockland,MA,2370,POINT (-70.818958 41.978877),POINT (-70.902398 42.164783),44 Amys Way,,Scituate,MA,2066,47-4634005,MCN281787,Wed Dec 12 2018 11:03:59 GMT-0500 (Eastern Standard Time),Wed Dec 05 2018 00:00:00 GMT-0500 (Eastern Standard Time),Fri Jul 19 2019 09:31:43 GMT-0400 (Eastern Daylight Time),TRUE,,,,,,APPROVED,RP201911,RP201911,Not a DBE,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",Thu Dec 14 2023 03:00:00 GMT-0500 (Eastern Standard Time),Thu Nov 08 2018 15:50:48 GMT-0500 (Eastern Standard Time),Fri Dec 21 2018 00:00:00 GMT-0500 (Eastern Standard Time),Mon Apr 29 2019 11:50:22 GMT-0400 (Eastern Daylight Time),Thu May 11 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon May 13 2024 04:00:00 GMT-0400 (Eastern Daylight Time),600,5000,2370,Rockland,Plymouth,41.978877,-70.818958,Southeast and Cape,N/A,MA,42.164783,-70.902398,,3/22/2024
APPROVED,Marijuana Courier Pre-Certification,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,PDO103036,"DB Delivery MA, LLC",N/A,N/A,Ericca@doobiedelivers.com,888-836-6243,6 Liberty Square,#2288,Boston,MA,2109,,,6 Liberty Square,#2288,Boston,MA,2109,85-1582293,PDOA103036,Tue Aug 11 2020 12:58:33 GMT-0400 (Eastern Daylight Time),Thu Aug 06 2020 09:10:37 GMT-0400 (Eastern Daylight Time),,TRUE,,EE202017,APPROVED,EE202017,,,,,Not a DBE,,,,Thu May 28 2020 19:34:40 GMT-0400 (Eastern Daylight Time),Thu Aug 13 2020 15:19:23 GMT-0400 (Eastern Daylight Time),Mon Aug 17 2020 12:36:53 GMT-0400 (Eastern Daylight Time),Mon Aug 17 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Aug 17 2022 04:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,,MA,,,,3/22/2024
APPROVED,Marijuana Product Manufacturer,Expedited Review - DBE Status,Expedited,DBE Status,PROVISIONAL CONSIDERATION,PROVISIONAL CONSIDERATION,,PAYMENT_PENDING,MP282269,"Fusion Drop, LLC",Whitman,2382,kimwall0077@gmail.com,781-424-4556,800 Hingham St.,,Rockland,MA,2370,POINT (-70.818958 41.978877),POINT (-70.925572 42.0832759),800 Hingham St.,,Rockland,MA,2370,92-3353187,MPN282269,Wed Nov 15 2023 11:30:43 GMT-0500 (Eastern Standard Time),Wed Oct 18 2023 12:05:42 GMT-0400 (Eastern Daylight Time),,,no,,,,,,,,Woman-Owned Business,,,,Fri Apr 07 2023 10:54:51 GMT-0400 (Eastern Daylight Time),Mon Nov 27 2023 10:04:42 GMT-0500 (Eastern Standard Time),Thu Jan 11 2024 12:40:46 GMT-0500 (Eastern Standard Time),,,1500,,2382,Whitman,Plymouth,41.978877,-70.818958,Southeast and Cape,Units 4B and 6,MA,42.083276,-70.925572,,3/22/2024
