application_status,license_type,APPLICATION_CLASSIFICATION,APPLICATION_CLASSIFICATION-1,APPLICATION_CLASSIFICATION-2,APPROVED_LICENSE_TYPE,Approved_License_Stages,commence_operations_date,lic_status,license_number,business_name,establishment_city,establishment_zipcode,BUSINESS_EMAIL,BUSINESS_PHONE,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,EIN_TIN,APPLICATION_NUMBER,SUBMITTED_DATE,FIRST_COMPLIANCE_REVIEW_DATE,LIC_FEE_PAYMENT_SUBMITTED_DATE,PRIORITY,FEE_WAIVER_REQUEST,FEE_WAIVER_EE_OR_SE_NUMBER,EE_PRIORITY_STATUS,EE_PRIORITY_NUMBER_FROM_ACCOUNT,EE_PRIORITY_NUMBER_FROM_APPLICATION,RMD_PRIORITY_STATUS,RMD_PRIORITY_NUMBER_FROM_ACCOUNT,RMD_PRIORITY_NUMBER_FROM_APPLICATION,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,APPLICATION_CREATED_DATE,CNB_DEEMED_COMPLETE_DATE,APPLICATION_APPROVED_DATE,LIC_START_DATE,LIC_EXPIRATION_DATE,PMT_AMOUNT,LIC_FEE_AMOUNT,ZIP,Town,county,county_lat,county_long,Region,ESTABLISHMENT_ADDRESS_2,establishment_state,latitude,longitude,APPROVED_SE_NUMBER,CCCLastUpdated
APPROVED,Marijuana Product Manufacturer,Expedited Review - DBE Status,Expedited,DBE Status,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP281872,Cedar Roots LLC,Ware,1082,breathefreellc@gmail.com,401-363-5682,50 East Main Street,,Ware,MA,1082,POINT (-72.62073 42.322256),POINT (-72.239175 42.2589919),12 Elm Street,,Ware,MA,1082,85-1700172,MPN281872,Fri Aug 28 2020 18:18:42 GMT-0400 (Eastern Daylight Time),Tue Aug 25 2020 14:19:57 GMT-0400 (Eastern Daylight Time),Mon Oct 12 2020 19:06:21 GMT-0400 (Eastern Daylight Time),,no,,,,,,,,Woman-Owned Business,,,,Tue Apr 14 2020 22:27:04 GMT-0400 (Eastern Daylight Time),Wed Sep 02 2020 08:11:38 GMT-0400 (Eastern Daylight Time),Thu Oct 08 2020 12:41:35 GMT-0400 (Eastern Daylight Time),Thu Sep 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Oct 12 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500,10000,1082,Ware,Hampshire,42.322256,-72.62073,Western MA,N/A,MA,42.258992,-72.239175,,3/22/2024
APPROVED,Marijuana Cultivator,Expedited Review - DBE Status,Expedited,DBE Status,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC283685,Neamat LLC,Uxbridge,1569,jsahagian@cox.net,401-743-0111,290 Millville Rd,,Uxbridge,MA,1569,POINT (-71.840209 42.329642),POINT (-71.619939 42.0607150),248 S. Pier Rd,,Narragansett,RI,2882,84-5071173,MCN283685,Wed Feb 08 2023 15:21:38 GMT-0500 (Eastern Standard Time),Fri Feb 11 2022 13:52:52 GMT-0500 (Eastern Standard Time),Mon Apr 24 2023 10:43:46 GMT-0400 (Eastern Daylight Time),,no,,,,,,,,Woman-Owned Business,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,Wed Jan 19 2022 11:12:06 GMT-0500 (Eastern Standard Time),Fri Feb 10 2023 09:35:55 GMT-0500 (Eastern Standard Time),Fri Apr 14 2023 14:52:55 GMT-0400 (Eastern Daylight Time),Mon Apr 24 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Apr 24 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,1250,1569,Uxbridge,Worcester,42.329642,-71.840209,Central MA,N/A,MA,42.060715,-71.619939,,3/22/2024
APPROVED,Marijuana Delivery Operator Pre-Certification,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,PMD5819,"The Hempest, LLC",N/A,N/A,dgmiller1953@gmail.com,617-755-4756,"1953 Dorchester Ave.,",Apt. #3,Dorchester,MA,2124,,,"1953 Dorchester Ave,",Apt. #3,Dorchester,MA,2124,00-1392860,PMDA5819,Thu Jun 24 2021 18:52:29 GMT-0400 (Eastern Daylight Time),Wed Jun 23 2021 17:09:47 GMT-0400 (Eastern Daylight Time),,TRUE,,EE201834,APPROVED,EE201834,,,,,Not a DBE,,,,Fri May 28 2021 13:34:51 GMT-0400 (Eastern Daylight Time),Fri Jul 02 2021 15:13:26 GMT-0400 (Eastern Daylight Time),Fri Jul 02 2021 15:13:35 GMT-0400 (Eastern Daylight Time),Fri Jul 02 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Sun Jul 02 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,,MA,,,SE304740,3/22/2024
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,COMMENCE OPS,2/11/2020,COMPLETE,MR281346,"Alternative Therapies Group, Inc.",Amesbury,1913,chris@atgma.org,617-549-8575,"24R Pleasant St, Unit 2",,Newburyport,MA,1950,POINT (-70.970827 42.635475),POINT (-70.922816 42.8457610),"24R Pleasant St, Unit 2",,Newburyport,MA,1950,46-2086314,MRN281346,Mon Jul 02 2018 09:32:23 GMT-0400 (Eastern Daylight Time),Thu May 10 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jul 26 2018 16:35:05 GMT-0400 (Eastern Daylight Time),TRUE,,,,,,APPROVED,RP201825,RPA201825,Not a DBE,,,Thu Dec 19 2019 03:00:00 GMT-0500 (Eastern Standard Time),Fri Apr 27 2018 16:15:34 GMT-0400 (Eastern Daylight Time),Thu Jul 05 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jul 26 2018 16:09:18 GMT-0400 (Eastern Daylight Time),Thu Sep 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Fri Sep 27 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300,5000,1913,Amesbury,Essex,42.635475,-70.970827,Northeast,N/A,MA,42.845761,-70.922817,,3/22/2024
APPROVED,Marijuana Product Manufacturer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,COMMENCE OPS,4/27/2021,COMPLETE,MP281321,Supercritical Mass Laboratories Inc.,Worcester,1606,charles@scmasslabs.com,508-397-8593,2 Fisher St.,,Northborough,MA,1532,POINT (-71.840209 42.329642),POINT (-71.800753 42.3214729),2 Fisher St.,,Northborough,MA,1532,82-4965917,MPN281321,Mon Dec 23 2019 12:38:14 GMT-0500 (Eastern Standard Time),Mon Aug 26 2019 00:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,Not a DBE,,,Thu Mar 11 2021 03:00:00 GMT-0500 (Eastern Standard Time),Mon Apr 30 2018 11:08:22 GMT-0400 (Eastern Daylight Time),Fri Feb 14 2020 00:00:00 GMT-0500 (Eastern Standard Time),Thu Apr 09 2020 15:31:13 GMT-0400 (Eastern Daylight Time),Thu Jul 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Jul 22 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300,10000,1606,Worcester,Worcester,42.329642,-71.840209,Central MA,N/A,MA,42.321473,-71.800754,,3/22/2024
APPROVED,Marijuana Cultivator,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,COMMENCE OPS,1/23/2020,COMPLETE,MC281343,"Mayflower Medicinals, Inc.",Holliston,1746,info@MAYFLOWERMEDICINALS.COM,508-356-6600,33 Union St,Suite 2,Boston,MA,2108,POINT (-71.275566 42.459085),POINT (-71.425685 42.2273289),33 Union St,Suite 2,Boston,MA,2108,47-5013962,MCN281343,Tue Mar 19 2019 15:50:00 GMT-0400 (Eastern Daylight Time),Fri Oct 12 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Mon May 20 2019 10:44:20 GMT-0400 (Eastern Daylight Time),TRUE,,,,,,APPROVED,RP201883,RP201883,Not a DBE,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",Thu Nov 07 2019 03:00:00 GMT-0500 (Eastern Standard Time),Tue May 01 2018 13:30:47 GMT-0400 (Eastern Daylight Time),Wed Apr 03 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu May 16 2019 13:30:50 GMT-0400 (Eastern Daylight Time),Fri Apr 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon May 20 2024 04:00:00 GMT-0400 (Eastern Daylight Time),400,2500,1746,Holliston,Middlesex,42.459085,-71.275566,Central MA,N/A,MA,42.227329,-71.425685,,3/22/2024
APPROVED,Marijuana Retailer,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,COMMENCE OPS,COMMENCE OPS,8/12/2021,COMPLETE,MR281612,"Terpene Journey, LLC",Swampscott,1907,tom@terpenejourney.com,857-202-7215,430 Paradise Road Space B,,Swampscott,MA,1907,POINT (-70.970827 42.635475),POINT (-70.903687 42.4814269),108 Burrill Street,Unit 1,Swampscott,MA,1907,82-4853848,MRN281612,Mon Jun 29 2020 15:26:27 GMT-0400 (Eastern Daylight Time),Thu Jun 18 2020 15:23:05 GMT-0400 (Eastern Daylight Time),,,yes,SE303603,,,,,,,"Lesbian, Gay, Bisexual, and Transgender Owned Business",,,Thu Jul 15 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Jun 18 2018 21:24:17 GMT-0400 (Eastern Daylight Time),Tue Jul 07 2020 11:10:32 GMT-0400 (Eastern Daylight Time),Thu Sep 10 2020 13:51:49 GMT-0400 (Eastern Daylight Time),Thu Nov 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Mon Nov 11 2024 03:00:00 GMT-0500 (Eastern Standard Time),,5000,1907,Swampscott,Essex,42.635475,-70.970827,Northeast,Unit B,MA,42.481427,-70.903687,SE303603,3/22/2024
REOPENED,Marijuana Delivery Operator,Expedited Review - Two or More,Expedited,Two or More,IN PROCESS,IN PROCESS,,INCOMPLETE,MD1300,Teddy's Veggie Farm LLC,Worcester,1608,Teddy@TeddysVeggies.com,508-499-0444,203 Greenville Street,,Spencer,MA,1562,POINT (-71.840209 42.329642),,203 Greenville Street,,Spencer,MA,1562,83-0794085,MDA1300,Wed Jul 06 2022 14:11:55 GMT-0400 (Eastern Daylight Time),Wed Jul 06 2022 11:39:14 GMT-0400 (Eastern Daylight Time),,,,SE304749,,,,,,,Minority-Owned Business,,,,Sat Mar 05 2022 03:18:42 GMT-0500 (Eastern Standard Time),,,,,,,1608,Worcester,Worcester,42.329642,-71.840209,Central MA,,MA,,,SE304749,3/22/2024
APPROVED,Marijuana Product Manufacturer,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP282163,"I.N.S.A., Inc.",Northampton,1060,facility-licensing@myinsa.com,877-500-4672,35 Center Street,,Chicopee,MA,1013,POINT (-72.62073 42.322256),POINT (-72.628050 42.3357779),35 Center Street,,Chicopee,MA,1013,46-3327054,MPN282163,Fri Apr 01 2022 15:21:24 GMT-0400 (Eastern Daylight Time),Thu Jan 20 2022 14:46:25 GMT-0500 (Eastern Standard Time),,TRUE,no,,,,,APPROVED,RP201833,,Not a DBE,,,,Wed Dec 29 2021 11:27:16 GMT-0500 (Eastern Standard Time),Fri Apr 08 2022 10:02:01 GMT-0400 (Eastern Daylight Time),Thu Jun 09 2022 12:59:13 GMT-0400 (Eastern Daylight Time),Tue Jun 28 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Jun 28 2023 04:00:00 GMT-0400 (Eastern Daylight Time),1500,10000,1060,Northampton,Hampshire,42.322256,-72.62073,Western MA,N/A,MA,42.335778,-72.62805,,3/22/2024
APPROVED,Marijuana Product Manufacturer,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP281666,"United Cultivation, LLC",Ashby,1431,mike@unitedcult.com,978-866-1154,601-603 Fitchburg State Road,,Ashby,MA,1431,POINT (-71.275566 42.459085),POINT (-71.791634 42.6479840),PO Box 966,,Groton,MA,1450,83-2715774,MPN281666,Sun Dec 29 2019 19:45:16 GMT-0500 (Eastern Standard Time),Thu Nov 07 2019 00:00:00 GMT-0500 (Eastern Standard Time),,,,,,,,,,,Not a DBE,,,,Sun May 12 2019 22:33:45 GMT-0400 (Eastern Daylight Time),Mon Jan 06 2020 00:00:00 GMT-0500 (Eastern Standard Time),Thu Mar 05 2020 12:26:13 GMT-0500 (Eastern Standard Time),Thu Jun 08 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Jun 26 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300,10000,1431,Ashby,Middlesex,42.459085,-71.275566,Central MA,N/A,MA,42.647984,-71.791635,,3/22/2024
