license_number,application_status,business_name,BUSINESS_PHONE,business_address_1,city_id,business_state,business_zipcode,New Lat,New Long,county_id
MP282192,APPROVED,"Good Feels, Inc.",617-201-6025,23 Jayar Rd,cty1,MA,2053,42.15942495,-71.39216251,ct1
MC281342,APPROVED,"Holyoke Gardens, LLC",413-588-6565,5 Appleton Street,cty2,MA,1040,42.19880755,-72.59910302,ct2
MR284616,APPROVED,"UC Retail, LLC",978-866-1154,489 Main Street,cty3,MA,1450,42.62141866,-71.58698164,ct3
MP282240,APPROVED,Motah 420 LLC,617-480-4160,6 RENFREW ST,cty4,MA,1220,42.637327,-73.112068,ct4
MP281832,APPROVED,"Mill Town Agriculture, LLC",781-353-8585,1 Cabot Street,cty2,MA,1040,42.197299,-72.603448,ct2
MC283451,APPROVED,"Canna Select Holdings, LLC",585-737-2119,23 LaSalle Drive,cty5,MA,1373,42.43253505,-72.62397315,ct5
MR282742,APPROVED,"Olde World Remedies, Inc.",617-650-3331,50 Congress Street,cty6,MA,2109,42.3580051,-71.05599076,ct6
MP282159,APPROVED,"Ahava, LLC",510-978-0803,333 N. Canal Street,cty2,MA,1040,42.20043637,-72.59849093,ct2
MR284185,APPROVED,Forest Wilde LLC,203-731-7548,75 Chestnut Street,cty7,MA,1238,42.3028705,-73.20237426,ct4
MC282488,APPROVED,Holistic Health Group Inc.,508-454-5323,202 Wood st,cty8,MA,1748,42.2370886,-71.5579114,ct3
MR281525,APPROVED,Boston Bud Factory Inc.,413-575-9879,73 Sargeant St,cty2,MA,1040,42.19581625,-72.6068107,ct2
MR281301,APPROVED,"JimBuddys Rec Shop, Inc.",413-331-3913,1269 Memorial Drive,cty9,MA,1020,42.19372802,-72.57542932,ct2
MR285001,REOPENED,Maruti Wellness LLC,240-472-5419,700 GREENDALE AVE,cty10,MA,2492,42.28471505,-71.20703085,ct1
MR282825,APPROVED,"BWell Holdings, Inc",617-283-9806,220 Commercial St,cty11,MA,2657,42.0497521,-70.18871865,ct7
MR281450,APPROVED,"Hennep, Inc.",914-483-9167,246 Commercial St.,cty11,MA,2657,42.05059775,-70.1879088,ct7
MP282058,APPROVED,Forest Wilde LLC,203-731-7548,75 Chestnut Street,cty7,MA,1238,42.3028705,-73.20237426,ct4
MC283761,APPROVED,Cloud 9 Cultivation LLC,857-212-6238,68 Carlisle Street,cty12,MA,2171,42.28495527,-71.02750049,ct1
MR284253,APPROVED,"Lemonnade Springfield, LLC",714-448-3649,595 Main Street,cty13,MA,1105,42.09433728,-72.58098991,ct2
MR283204,APPROVED,"New Leaf Enterprises, Inc.",508-837-5466,360 Second Street,cty14,MA,2721,41.69732305,-71.15726635,ct8
MR281787,APPROVED,"Holistic Industries, Inc.",917-757-9408,304 Somerville Avenue,cty15,MA,2143,42.3801102,-71.09775234,ct3
MP281687,APPROVED,MassMedicum Corp.,781-799-6629,1 Mear Road,cty16,MA,2343,42.15200975,-71.02550581,ct1
MC282106,APPROVED,"United Cultivation, LLC",978-866-1154,601-603 Fitchburg State Road,cty17,MA,1431,42.64831219,-71.79086639,ct3
MR284983,APPROVED,Uma Flowers Waltham LLC,617-784-4046,109 Raffaele Dr,cty18,MA,2452,42.39944235,-71.22072595,ct3
MC282112,APPROVED,"Northeast Alternatives, Inc.",508-567-6761,999 William S Canning Blvd,cty14,MA,2721,41.6655837,-71.15724582,ct8
MC282778,APPROVED,"J&L Enterprises, Inc.",413-204-9044,104 GOVERNOR DUKAKIS DRIVE,cty19,MA,1364,42.5646298,-72.28566395,ct5
PMD5822,APPROVED,Bean Collective,617-687-9149,63 Coburn st,cty20,MA,1850,42.6523372,-71.30640151,ct3
MB282384,APPROVED,Upper Echelon Cultivation LLC,787-934-9163,460 Race St,cty2,MA,1040,42.2062402,-72.6020193,ct2
MC281685,APPROVED,"Mass Alternative Care, Inc.",413-377-6240,1247 East Main Street,cty9,MA,1020,42.15810715,-72.54266983,ct2
MC282483,REOPENED,Galil Greenery,954-882-2526,235 Main St.,cty21,MA,1060,42.3180625,-72.63271961,ct9
MR282519,APPROVED,Ganesh Wellness Inc.,516-776-2305,50 Congress St. Suite 420,cty6,MA,2109,42.3580051,-71.05599076,ct6
PDO103320,APPROVED,Kadupul LLC,781-413-6047,60 James St Apt 1,cty22,MA,2703,41.937012,-71.279649,ct8
MP281406,APPROVED,Baked Bean LLC,954-350-1300,504 Quaker Hwy,cty23,MA,1569,42.03818575,-71.61913905,ct10
MP281624,APPROVED,"Life Essence, Inc.",617-832-1158,56 Canal Street,cty2,MA,1040,42.20833147,-72.59677389,ct2
MD1331,REOPENED,"Izapa Stella 5, LLC.",281-905-1433,703 School St,cty24,MA,1475,42.71394835,-72.07771705,ct10
PMD5824,APPROVED,GreenHouse Distributors Incorporated,978-393-3104,253 Millers Falls Road,cty25,MA,1349,42.59022745,-72.52731605,ct5
MP281831,APPROVED,"Legal Greens, LLC",857-333-8143,93 Pleasant St,cty26,MA,2301,42.0861225,-71.02255968,ct11
MR283919,APPROVED,"BOATHOUSE STORE, LLC",508-943-7800,4 Town Forest Road,cty27,MA,1570,42.0779771,-71.86137939,ct10
MC283405,APPROVED,First City Provisions Inc.,804-683-3773,89 South Street,cty2,MA,1040,42.19440945,-72.6149963,ct2
PMD5799,APPROVED,Blossom Flower LLC,413-250-6104,1 Cabot Street,cty2,MA,1040,42.197299,-72.603448,ct2
MP282263,APPROVED,Euphorium LLC,203-767-6061,15 Main St,cty2,MA,1040,42.2054676,-72.60243389,ct2
MC282745,REOPENED,"HTC Trinity, LLC",774-930-1519,491 West Water Street,cty28,MA,2780,41.88151995,-71.09428222,ct8
MC281283,APPROVED,Jolly Green Inc,978-502-3740,60 Franklin St,cty24,MA,1475,42.69268625,-72.04852476,ct10
MC283278,APPROVED,EC Developments,412-651-1178,1385 Bernardston Road,cty29,MA,1301,42.65072315,-72.56115519,ct5
MR282601,APPROVED,"ToroVerde (Massachusetts), Inc.",352-247-5581,C/O EvansCutler Attorneys 90 Conz Street,cty21,MA,1060,42.31352125,-72.62653438,ct9
MR282947,APPROVED,"Patient Centric of Martha's Vineyard, Ltd.",774-836-4397,90 Dr. Fisher Rd.,cty30,MA,2575,41.409333,-70.665626,ct12
MC282476,APPROVED,"Canna Provisions, Inc.",303-981-2453,160 Quarry Hill Road,cty7,MA,1238,42.284735,-73.256316,ct4
MR284962,REOPENED,Vinyl Roots LLC,617-256-6102,419 Boylston St,cty6,MA,2116,42.35161137,-71.07204886,ct6
