RecordNo,SaleDate,ProductCategoryName,UnitOfMeasureName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,CCCLastUpdated
1,11/5/2018,Infused (edible),Each,60,2,60,0,0,2,3/22/2024
2,11/6/2018,Infused (edible),Each,57,2,57,0,0,2,3/22/2024
3,11/19/2018,Concentrate (Each),Each,0,0,0,0,0,0,3/22/2024
3,11/19/2018,Buds,Grams,0,0,0,0,0,0,3/22/2024
5,11/20/2018,Concentrate (Each),Each,163585.03,3031,163585.03,0,0,3031,3/22/2024
5,11/20/2018,Infused (edible),Each,72192.26,3092,72192.26,0,0,3092,3/22/2024
5,11/20/2018,Infused (non-edible),Each,2460.63,70,2460.63,0,0,70,3/22/2024
5,11/20/2018,Buds,Grams,201773.4,0,0,15029.44,201773.4,15029.44,3/22/2024
9,11/21/2018,Concentrate (Each),Each,161214.15,2900,161214.15,0,0,2900,3/22/2024
9,11/21/2018,Infused (edible),Each,60150.37,2258,60150.37,0,0,2258,3/22/2024
9,11/21/2018,Buds,Grams,212917.74,0,0,15552.37,212917.74,15552.37,3/22/2024
9,11/21/2018,Infused (non-edible),Each,2699.75,68,2699.75,0,0,68,3/22/2024
9,11/21/2018,Buds,Each,4558.16,167,4558.16,0,0,167,3/22/2024
14,11/23/2018,Buds,Each,6330.28,218,6330.28,0,0,218,3/22/2024
14,11/23/2018,Infused (edible),Each,74571.59,2968,74571.59,0,0,2968,3/22/2024
14,11/23/2018,Concentrate (Each),Each,210369.57,3757,210369.57,0,0,3757,3/22/2024
14,11/23/2018,Infused (non-edible),Each,3976,108,3976,0,0,108,3/22/2024
14,11/23/2018,Buds,Grams,184501.16,0,0,12793.82,184501.16,12793.82,3/22/2024
19,11/24/2018,Buds,Grams,168598.46,0,0,11659.95,168598.46,11659.95,3/22/2024
19,11/24/2018,Infused (non-edible),Each,3342,94,3342,0,0,94,3/22/2024
19,11/24/2018,Concentrate (Each),Each,196641.42,3412,196641.42,0,0,3412,3/22/2024
19,11/24/2018,Infused (edible),Each,69821.73,2331,69821.73,0,0,2331,3/22/2024
19,11/24/2018,Buds,Each,26315.6,1941,26315.6,0,0,1941,3/22/2024
