RACE_ETHNICITY,TOTAL,%_TOTAL,CCCLastUpdated
Agent Identified as Two or More Ethnicities,646,0.023,3/22/2024
Some Other Race or Ethnicity,200,0.009,3/22/2024
Native Hawaiian or Other Pacific Islander,16,0.001,3/22/2024
Middle Eastern or North African,56,0.002,3/22/2024
Black or African American,1486,0.064,3/22/2024
Decline to Answer,2635,0.114,3/22/2024
"Hispanic, Latino, or Spanish",2104,0.091,3/22/2024
Asian,488,0.021,3/22/2024
American Indian or Alaska Native,34,0.001,3/22/2024
White,15425,0.668,3/22/2024
