SaleDate,PRODUCT_CATEGORY,UNIT_OF_MEASURE,RecordNo,TOTAL_$,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,CCCLastUpdated
11/5/2018,Infused (edible),Each,1,60,2,60,0,0,2,3/22/2024
11/6/2018,Infused (edible),Each,2,57,2,57,0,0,2,3/22/2024
11/19/2018,Buds,Grams,3,0,0,0,0,0,0,3/22/2024
11/19/2018,Concentrate (Each),Each,3,0,0,0,0,0,0,3/22/2024
11/20/2018,Concentrate (Each),Each,5,163585.03,3031,163585.03,0,0,3031,3/22/2024
11/20/2018,Infused (edible),Each,5,72192.26,3092,72192.26,0,0,3092,3/22/2024
11/20/2018,Buds,Grams,5,201773.4,0,0,15029.44,201773.4,15029.44,3/22/2024
11/20/2018,Infused (non-edible),Each,5,2460.63,70,2460.63,0,0,70,3/22/2024
11/21/2018,Infused (non-edible),Each,9,2699.75,68,2699.75,0,0,68,3/22/2024
11/21/2018,Infused (edible),Each,9,60150.37,2258,60150.37,0,0,2258,3/22/2024
11/21/2018,Concentrate (Each),Each,9,161214.15,2900,161214.15,0,0,2900,3/22/2024
11/21/2018,Buds,Each,9,4558.16,167,4558.16,0,0,167,3/22/2024
11/21/2018,Buds,Grams,9,212917.74,0,0,15552.37,212917.74,15552.37,3/22/2024
11/23/2018,Infused (non-edible),Each,14,3976,108,3976,0,0,108,3/22/2024
11/23/2018,Buds,Grams,14,184501.16,0,0,12793.82,184501.16,12793.82,3/22/2024
11/23/2018,Buds,Each,14,6330.28,218,6330.28,0,0,218,3/22/2024
11/23/2018,Concentrate (Each),Each,14,210369.57,3757,210369.57,0,0,3757,3/22/2024
11/23/2018,Infused (edible),Each,14,74571.59,2968,74571.59,0,0,2968,3/22/2024
11/24/2018,Concentrate (Each),Each,19,196641.42,3412,196641.42,0,0,3412,3/22/2024
11/24/2018,Infused (edible),Each,19,69821.73,2331,69821.73,0,0,2331,3/22/2024
11/24/2018,Infused (non-edible),Each,19,3342,94,3342,0,0,94,3/22/2024
11/24/2018,Buds,Grams,19,168598.46,0,0,11659.95,168598.46,11659.95,3/22/2024
11/24/2018,Buds,Each,19,26315.6,1941,26315.6,0,0,1941,3/22/2024
11/24/2018,Kief,Grams,19,2618.11,0,0,561.8,2618.11,561.8,3/22/2024
11/25/2018,Buds,Grams,25,152471.61,0,0,10678.07,152471.61,10678.07,3/22/2024
11/25/2018,Concentrate (Each),Each,25,149223.17,2628,149223.17,0,0,2628,3/22/2024
11/25/2018,Buds,Each,25,19387.54,901,19387.54,0,0,901,3/22/2024
11/25/2018,Infused (edible),Each,25,62373.99,2436,62373.99,0,0,2436,3/22/2024
11/25/2018,Infused (non-edible),Each,25,2331.98,80,2331.98,0,0,80,3/22/2024
11/25/2018,Kief,Grams,25,1847.5,0,0,392.2,1847.5,392.2,3/22/2024
11/26/2018,Buds,Each,31,18225.56,658,18225.56,0,0,658,3/22/2024
11/26/2018,Infused (non-edible),Each,31,2348.51,69,2348.51,0,0,69,3/22/2024
11/26/2018,Concentrate (Each),Each,31,137044.82,2322,137044.82,0,0,2322,3/22/2024
11/26/2018,Infused (edible),Each,31,52885.36,2014,52885.36,0,0,2014,3/22/2024
11/26/2018,Buds,Grams,31,138458.52,0,0,9713.43,138458.52,9713.43,3/22/2024
11/26/2018,Kief,Grams,31,1600,0,0,339.2,1600,339.2,3/22/2024
11/27/2018,Concentrate,Grams,37,8414.66,0,0,74.2,8414.66,74.2,3/22/2024
11/27/2018,Buds,Grams,37,127083.76,0,0,8840.1,127083.76,8840.1,3/22/2024
11/27/2018,Infused (non-edible),Each,37,1751.74,56,1751.74,0,0,56,3/22/2024
11/27/2018,Concentrate (Each),Each,37,115325.97,1991,115325.97,0,0,1991,3/22/2024
11/27/2018,Infused (edible),Each,37,51937.98,2149,51937.98,0,0,2149,3/22/2024
11/27/2018,Kief,Grams,37,375,0,0,79.5,375,79.5,3/22/2024
11/27/2018,Buds,Each,37,13392.6,465,13392.6,0,0,465,3/22/2024
11/28/2018,Infused (edible),Each,44,59846.47,2333,59846.47,0,0,2333,3/22/2024
11/28/2018,Concentrate,Grams,44,19043.18,0,0,216.6,19043.18,216.6,3/22/2024
11/28/2018,Concentrate (Each),Each,44,104062.6,1827,104062.6,0,0,1827,3/22/2024
11/28/2018,Buds,Grams,44,123834.61,0,0,8671.14,123834.61,8671.14,3/22/2024
