RecordNo,SaleDate,ProductCategoryName,UnitOfMeasureName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,CCCLastUpdated
1,11/5/2018,Infused (edible),Each,60,2,60,0,0,2,04/08/2024
2,11/20/2018,Infused (edible),Each,1381.9,61,1381.9,0,0,61,04/08/2024
2,11/20/2018,Concentrate (Each),Each,4931.18,101,4931.18,0,0,101,04/08/2024
2,11/20/2018,Infused (non-edible),Each,89.74,3,89.74,0,0,3,04/08/2024
2,11/20/2018,Buds,Grams,5159.59,0,0,441.51,5159.59,441.51,04/08/2024
6,11/21/2018,Concentrate (Each),Each,10828.24,232,10828.24,0,0,232,04/08/2024
6,11/21/2018,Infused (non-edible),Each,476.83,11,476.83,0,0,11,04/08/2024
6,11/21/2018,Buds,Grams,17285.72,0,0,1734.42,17285.72,1734.42,04/08/2024
6,11/21/2018,Infused (edible),Each,6621.41,303,6621.41,0,0,303,04/08/2024
6,11/21/2018,Buds,Each,163.91,7,163.91,0,0,7,04/08/2024
11,11/23/2018,Infused (edible),Each,4530.82,150,4530.82,0,0,150,04/08/2024
11,11/23/2018,Buds,Each,404.46,9,404.46,0,0,9,04/08/2024
11,11/23/2018,Buds,Grams,13223.33,0,0,1176,13223.33,1176,04/08/2024
11,11/23/2018,Concentrate (Each),Each,9066.74,197,9066.74,0,0,197,04/08/2024
11,11/23/2018,Infused (non-edible),Each,213.12,7,213.12,0,0,7,04/08/2024
16,11/24/2018,Buds,Grams,13139.43,0,0,1314.29,13139.43,1314.29,04/08/2024
16,11/24/2018,Buds,Each,1074.68,115,1074.68,0,0,115,04/08/2024
16,11/24/2018,Kief,Grams,158.1,0,0,37.1,158.1,37.1,04/08/2024
16,11/24/2018,Infused (non-edible),Each,220.44,7,220.44,0,0,7,04/08/2024
16,11/24/2018,Concentrate (Each),Each,8133.79,156,8133.79,0,0,156,04/08/2024
16,11/24/2018,Infused (edible),Each,4232.82,167,4232.82,0,0,167,04/08/2024
22,11/25/2018,Kief,Grams,23.65,0,0,10.6,23.65,10.6,04/08/2024
22,11/25/2018,Concentrate (Each),Each,5351.28,97,5351.28,0,0,97,04/08/2024
22,11/25/2018,Infused (edible),Each,3071.75,183,3071.75,0,0,183,04/08/2024
22,11/25/2018,Buds,Each,536.83,31,536.83,0,0,31,04/08/2024
22,11/25/2018,Buds,Grams,6254.85,0,0,557.46,6254.85,557.46,04/08/2024
22,11/25/2018,Infused (non-edible),Each,31.87,3,31.87,0,0,3,04/08/2024
28,11/26/2018,Infused (non-edible),Each,351.92,9,351.92,0,0,9,04/08/2024
28,11/26/2018,Buds,Grams,10235.62,0,0,1062.64,10235.62,1062.64,04/08/2024
28,11/26/2018,Buds,Each,520.69,31,520.69,0,0,31,04/08/2024
28,11/26/2018,Kief,Grams,18.22,0,0,5.3,18.22,5.3,04/08/2024
28,11/26/2018,Infused (edible),Each,5500.61,249,5500.61,0,0,249,04/08/2024
28,11/26/2018,Concentrate (Each),Each,5182.8,122,5182.8,0,0,122,04/08/2024
34,11/27/2018,Concentrate (Each),Each,9169.81,184,9169.81,0,0,184,04/08/2024
34,11/27/2018,Buds,Each,514.96,32,514.96,0,0,32,04/08/2024
34,11/27/2018,Infused (edible),Each,4782.3,267,4782.3,0,0,267,04/08/2024
34,11/27/2018,Infused (non-edible),Each,220.03,9,220.03,0,0,9,04/08/2024
34,11/27/2018,Buds,Grams,9169.22,0,0,927.05,9169.22,927.05,04/08/2024
39,11/28/2018,Infused (non-edible),Each,185.77,8,185.77,0,0,8,04/08/2024
39,11/28/2018,Buds,Grams,9780.09,0,0,967.52,9780.09,967.52,04/08/2024
39,11/28/2018,Concentrate (Each),Each,9477.98,177,9477.98,0,0,177,04/08/2024
39,11/28/2018,Buds,Each,1072.95,68,1072.95,0,0,68,04/08/2024
39,11/28/2018,Infused (edible),Each,6173.95,298,6173.95,0,0,298,04/08/2024
44,11/29/2018,Infused (edible),Each,6212.66,283,6212.66,0,0,283,04/08/2024
44,11/29/2018,Buds,Grams,12250.88,0,0,1190.09,12250.88,1190.09,04/08/2024
44,11/29/2018,Concentrate (Each),Each,8934.99,184,8934.99,0,0,184,04/08/2024
44,11/29/2018,Buds,Each,1410.78,90,1410.78,0,0,90,04/08/2024
