NAME,ADDRESS,TYPE,TOWN,ZIP_CODE,PHONE_NUMBER,GEOCODE
Ascend (http://letsascend.com/),461-469 WEST STATE STREET (https://goo.gl/maps/7BPhstdT4qMtMJA56),Medicinal and Recreational,FORT LEE,7024,(973) 200-7696,POINT (-73.97250801 40.859734011)
Ascend (http://letsascend.com/),174 ROUTE 17 NORTH (https://goo.gl/maps/E3EpiSdCLjcPwNmj8),Medicinal and Recreational,ROCHELLE PARK,7662,(973) 500-6825,POINT (-74.071173991 40.903653005)
Ascend (http://letsascend.com/),395 BLOOMFIELD AVE (https://goo.gl/maps/db5xkfK5MgiXQJyD6),Medicinal and Recreational,MONTCLAIR,7042,(973) 337-5670,POINT (-74.215952909 40.812709321)
MPX NJ (http://mpxnj.com/),153 S. NEW YORK AVENUE (https://goo.gl/maps/stid54TD8dUwePpG9),Medicinal and Recreational,ATLANTIC CITY,8401,(609) 616-7770,POINT (-74.427457012 39.359126999)
Theo A. Cannabis (http://njtheo.com/),"3059 RT. 27, UNIT 104 (https://maps.app.goo.gl/wYYYmm5dgkFdZRCL8)",Medicinal cannabis only,FRANKLIN PARK,8823,(732) 835-4345,POINT (-74.537343008 40.438502012)
RISE (http://risecannabis.com/),"145 RT. 4 WEST, UNIT #2 (https://g.page/paramus-NJ-dispensary-RISE?share)",Medicinal cannabis only,PARAMUS,7514,(973) 996-4570,POINT (-74.121767968 40.920188268)
Roots Dispensary (http://rootsnj.com/),4402 ROUTE 130 (https://maps.app.goo.gl/vmkXJBZFCjKmDiX17),Medicinal and Recreational,WILLINGBORO,8046,609-232-2722,POINT (-74.888033036 40.055927015)
Apothecarium Dispensary (https://apothecariumnj.com/lodi/),200 NJ-17 (https://goo.gl/maps/DyDRUd2YiF2U4Rae6),Medicinal and Recreational,LODI,7644,(862) 910-2420,POINT (-74.067241035 40.882779006)
Apothecarium Dispensary (https://apothecariumnj.com/maplewood/),1865 SPRINGFIELD AVENUE (https://goo.gl/maps/AfvmhvLBwsDwatoKA),Medicinal and Recreational,MAPLEWOOD,7040,(973) 996-1420,POINT (-74.269286642 40.72072861)
Apothecarium Dispensary (https://apothecariumnj.com/phillipsburg/),55 SOUTH MAIN ST. (https://goo.gl/maps/rAD9hdJjE61SAoGe9),Medicinal and Recreational,PHILLIPSBURG,8865,(908) 777-7420,POINT (-75.201758032 40.690828981)
Brute's Roots (https://brutesroots.com/),6206 BLACK HORSE PIKE (https://maps.app.goo.gl/5KzbAPrRan4njuQb6),Medicinal and Recreational,EGG HARBOR TOWNSHIP,8234,(609) 867-6112,POINT (-74.602429995 39.430488008)
"Cannabist, The (https://col-care.com/location/vineland/)",1062 NORTH DELSEA DRIVE (https://g.page/columbiacarevineland?share),Medicinal and Recreational,VINELAND,8360,(856) 213-9445,POINT (-75.042358039 39.502727985)
Curaleaf (https://curaleaf.com/shop/new-jersey/curaleaf-nj-bellmawr?),640 CREEK ROAD (https://goo.gl/maps/ryTQ1JVHqu9RktKf7),Medicinal and Recreational,BELLMAWR,8031,(856) 933-8700,POINT (-75.103095991 39.865061985)
Curaleaf (https://curaleaf.com/shop/new-jersey/curaleaf-nj-bordentown?),191 RTE 130 (https://goo.gl/maps/Vo4phr2er7X76kHq6),Medicinal and Recreational,BORDENTOWN,8505,(609) 400-2455,POINT (-74.69962998 40.148561001)
Curaleaf (https://curaleaf.com/shop/new-jersey/curaleaf-nj-edgewater-park?),4237 US-130 South (https://goo.gl/maps/fY2rMrDiDt29SeN5A),Medicinal and Recreational,EDGEWATER PARK,8010,(609) 232-7681,POINT (-74.912763014 40.040723958)
Design 710 (https://design710.com/),112 PARK PLACE (https://goo.gl/maps/CcZbg6jayHK8EpFM8),Medicinal and Recreational,ATLANTIC CITY,8401,(609) 964-7420,POINT (-74.432816987 39.357851986)
