NAME,ADDRESS,TYPE,TOWN,ZIP_CODE,PHONE_NUMBER,GEOCODE
Bakin’ Bad (http://bakinbadac.com/),"2834 ATLANTIC AVENUE, UNIT C1 (https://maps.app.goo.gl/DpqfQaufNPW3HRZGA)",Recreational cannabis only,ATLANTIC CITY,8401,609-622-5055,POINT (-74.446463983 39.354346003)
Blue Oak (http://blueoaknj.com/),"1025 BROAD STREET, SUITE 2 (https://maps.app.goo.gl/B9tcEK3oR1e1nMhEA)",Recreational cannabis only,BLOOMFIELD,7003,(973) 893-8111,POINT (-74.18749796 40.826956998)
Castaway Cannabis (http://castawaycanna.com/),6006 US 130 (https://maps.app.goo.gl/5RqfAc2Gh4vukhPD6),Recreational cannabis only,DELRAN,8075,(856) 544-3029,POINT (-74.948759081 40.01848203)
Daylite Cannabis (http://daylitecannabis.com/),1136 ROUTE 73 (https://goo.gl/maps/NNa2zqta1gz7X2th7),Recreational cannabis only,MOUNT LAUREL,8054,,POINT (-74.952469 39.925340987)
Earth & Ivy (http://earthandivy.co/),355 GEORGE STREET (https://goo.gl/maps/AFA9CnfeS7PjTFKp8),Recreational cannabis only,NEW BRUNSWICK,8901,(732) 317-2992,POINT (-74.443542973 40.494784983)
Golden Door Dispensary (http://goldendoordispensary.com/),638 NEWARK AVENUE (https://maps.app.goo.gl/WsvvAFPJx8wYMYmo6),Recreational cannabis only,JERSEY CITY,7306,(973) 735-0950,POINT (-74.058208025 40.733852997)
Green Oasis Dispensary (http://greenoasisnj.com/),632 WHITE HORSE PIKE (https://maps.app.goo.gl/P7YotQYSLGtPQhcB8),Recreational cannabis only,ATCO,8004,(856) 388-4126,POINT (-74.882085992 39.755628989)
Gynsyng (http://gynsyng.com/),14 S CENTRE STREET (https://maps.app.goo.gl/m8MyiBWq48TmjCcn7),Recreational cannabis only,MERCHANTVILLE,8109,(908) 275-0385,POINT (-75.049284005 39.951819)
High Profile Lakehurst (http://highprofilecannabis.com/),145 ROUTE 70 (https://maps.app.goo.gl/jiVW7dac6W8VXNw78),Recreational cannabis only,LAKEHURST,8733,(732) 408-3208,POINT (-74.315205977 40.015352988)
Holistic Re-Leaf (http://holisticreleafnj.com/),321 MOUNT HOPE AVE (https://maps.app.goo.gl/dtpw3ZroEKZJVcXB8),Recreational cannabis only,ROCKAWAY,7866,,POINT (-74.549279006 40.909603988)
