city_id,business_city
cty1,Medway
cty2,Holyoke
cty3,Groton
cty4,ADAMS
cty5,Whately
cty6,Boston
cty7,Lee
cty8,Hopkinton
cty9,Chicopee
cty10,Needham
cty11,Provincetown
cty12,Quincy
cty13,Springfield
cty14,Fall River
cty15,Somerville
cty16,Holbrook
cty17,Ashby
cty18,Waltham
cty19,Orange
cty20,Lowell
cty21,Northampton
cty22,Attleboro
cty23,Uxbridge
cty24,Winchendon
cty25,Turners Falls
cty26,Brockton
cty27,Webster
cty28,Taunton
cty29,Greenfield
cty30,West Tisbury
cty31,NORTON
cty32,East Boston
cty33,Winchester
cty34,Hanson
cty35,Easthampton
cty36,Great Barrington
cty37,Natick
cty38,Tyngsborough
cty39,Somerset
cty40,LYNN
cty41,Dorchester
cty42,Hubbardston
cty43,Woburn
cty44,Stoughton
cty45,Turners Fall
cty46,Fitchburg
cty47,Worcester
cty48,Gloucester
cty49,Clinton
cty50,Middleborough
cty51,Rochester
cty52,Salisbury
cty53,Dudley
cty54,Framingham
cty55,Oxford
cty56,Wayland
cty57,MARLBOROUGH
cty58,Sandwich
cty59,Athol
cty60,Newton
cty61,Milford
cty62,Plainville
cty63,Sandisfield
cty64,Plymouth
cty65,Kingston
cty66,Swansea
cty67,Franklin
cty68,Georgetown
cty69,Hudson
cty70,Gardner
cty71,Mendon
cty72,N Chelmsford
cty73,Dartmouth
cty74,Pittsfield
cty75,Palmer
cty76,Rockland
cty77,Holland
cty78,brockton
cty79,Sudbury
cty80,Manchester-By-The-Sea
cty81,Ashburnham
cty82,Revere
cty83,Plymouith
cty84,Sharon
cty85,Hopedale
cty86,Douglas
cty87,PITTSFIELD
cty88,WOBURN
cty89,Newburyport
cty90,Ware
cty91,Sheffield
cty92,WAREHAM
cty93,Brimfield
cty94,Shelburne
cty95,Sturbridge
cty96,Tewksbury
cty97,Cambridge
cty98,FITCHBURG
cty99,Granby
cty100,Amherst
cty101,New Bedford
cty102,Salem
cty103,Mattapan
cty104,Hamilton
cty105,Cherry Valley
cty106,Ayer
cty107,Middleboro
cty108,Malden
cty109,EVERETT
cty110,Blandford
cty111,Southbridge
cty112,Boxborough
cty113,Eastham
cty114,Littleton
cty115,Type
cty116,Barre
cty117,Seekonk
cty118,ROCHESTER
cty119,NORTHAMPTON
cty120,Chelsea
cty121,Chelmsford
cty122,Truro
cty123,Wareham
cty124,Bellingham
cty125,Upton
cty126,Cummington
cty127,Templeton
cty128,Stoneham
cty129,Whitman
cty130,Berkley
cty131,Rutland
cty132,Westfield
cty133,Roslindale
cty134,Westborough
cty135,North Attleboro
cty136,Ipswich
cty137,Braintree
cty138,Bedford
cty139,Amesbury
cty140,South Deerfield
